BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT,YEAR,QUARTER
,2021 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,22673.79,682.79,2021,3
,2021 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,22673.79,682.79,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5081234.3,1710135.31,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,15588.84,13424.17,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,97056.79,35520.73,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,22616.1,18165.68,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,116639,38607,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,115095.56,52449.33,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,63363.67,44499.13,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,5511594.26,1912801.35,2021,3
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,5534268.05,1913484.14,2021,3
,2021 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,25043,12338,2021,3
,2021 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,25043,12338,2021,3
,2021 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,OFFICE TOTALS:,25043,12338,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1974446.63,699641.78,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,794.79,40.57,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,788.13,86.65,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3688.1,2373,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,4585,0,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,13486.77,765.52,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1997789.42,702907.52,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,1997789.42,702907.52,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,27753.36,10053.36,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,27753.36,10053.36,2021,3
,2021 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,OFFICE TOTALS:,27753.36,10053.36,2021,3
