BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,145.76,18.6
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3232229.32,1627021.81
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,16826.42,4621.54
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,70889.02,50881.02
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,10940.86,3736.88
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,12412.88,7803
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,89072.34,18149.5
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,6597.47,2790
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,3439114.07,1715022.35
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,3439114.07,1715022.35
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1252391.41,636151.07
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,22,-5322.47
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,917.77,15.83
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,0,-19163.89
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,743.68,-3968.15
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,207.64,-5721.36
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1254282.5,601991.03
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,1254282.5,601991.03
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2026500.61,1041975.01
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,63.31,0
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,41863.75,32323.11
